client,datetime,method,request,status,size,referer,user_agent,traffic-label,ref,refers,user-agent,encoded_refers,encoded_user-agent,encoded_status,encoded_method
93.113.124.199,2019-01-22 04:00:06+03:30,GET,/,301,178,-,\x22nlpproject.info research\x22,0,,,\x22nlpproject.info research\x22,0,1,1,0
46.229.161.131,2019-01-22 04:00:08+03:30,HEAD,/browse/perfume,301,0,-,semrushbot,0,,,semrushbot,0,5,1,1
46.229.161.131,2019-01-22 04:00:10+03:30,HEAD,/browse/perfume,200,0,http://www.zanbil.ir/browse/perfume,semrushbot,1,www.zanbil.ir,www.zanbil.ir,semrushbot,7,5,0,1
46.229.161.131,2019-01-22 04:00:11+03:30,HEAD,/browse/baby,200,0,-,semrushbot,0,,,semrushbot,0,5,0,1
192.15.21.99,2019-01-22 04:01:06+03:30,GET,/,301,178,-,dorado wap-browser/1.0.0,0,,,\x22nlpproject.info research\x22,0,1,1,0
66.111.54.249,2019-01-22 04:02:18+03:30,GET,/m/product/27677/56223/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-KGN56LB304,499,0,https://www.zanbil.ir/m/product/34024/64841/%db%8c%d8%ae%da%86%d8%a7%d9%84-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%af%d9%88%d9%88-%d9%85%d8%af%d9%84-ultimo-d2bf-0028gw,"mozilla/5.0 (linux; android 5.0; sm-g900h build/lrx21t) applewebkit/537.36 (khtml, like gecko) chrome/39.0.2171.93 mobile safari/537.36",1,www.zanbil.ir,www.zanbil.ir,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),7,3,7,0
66.111.54.249,2019-01-22 04:02:19+03:30,GET,/m/product/27677/56223/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-KGN56LB304,499,0,https://www.zanbil.ir/m/product/34024/64841/%db%8c%d8%ae%da%86%d8%a7%d9%84-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%af%d9%88%d9%88-%d9%85%d8%af%d9%84-ultimo-d2bf-0028gw,"mozilla/5.0 (linux; android 5.0; sm-g900h build/lrx21t) applewebkit/537.36 (khtml, like gecko) chrome/39.0.2171.93 mobile safari/537.36",1,www.zanbil.ir,www.zanbil.ir,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),7,3,7,0
66.111.54.249,2019-01-22 04:02:23+03:30,GET,/m/product/27677/56223/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-KGN56LB304,499,0,https://www.zanbil.ir/m/product/34024/64841/%db%8c%d8%ae%da%86%d8%a7%d9%84-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%af%d9%88%d9%88-%d9%85%d8%af%d9%84-ultimo-d2bf-0028gw,"mozilla/5.0 (linux; android 5.0; sm-g900h build/lrx21t) applewebkit/537.36 (khtml, like gecko) chrome/39.0.2171.93 mobile safari/537.36",1,www.zanbil.ir,www.zanbil.ir,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),7,3,7,0
66.111.54.249,2019-01-22 04:02:23+03:30,GET,/m/product/27677/56223/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-KGN56LB304,499,0,https://www.zanbil.ir/m/product/34024/64841/%db%8c%d8%ae%da%86%d8%a7%d9%84-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%af%d9%88%d9%88-%d9%85%d8%af%d9%84-ultimo-d2bf-0028gw,"mozilla/5.0 (linux; android 5.0; sm-g900h build/lrx21t) applewebkit/537.36 (khtml, like gecko) chrome/39.0.2171.93 mobile safari/537.36",1,www.zanbil.ir,www.zanbil.ir,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),7,3,7,0
66.111.54.249,2019-01-22 04:02:24+03:30,GET,/m/product/27677/56223/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-KGN56LB304,499,0,https://www.zanbil.ir/m/product/34024/64841/%db%8c%d8%ae%da%86%d8%a7%d9%84-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%81%d8%b1%db%8c%d8%b2%d8%b1-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%af%d9%88%d9%88-%d9%85%d8%af%d9%84-ultimo-d2bf-0028gw,"mozilla/5.0 (linux; android 5.0; sm-g900h build/lrx21t) applewebkit/537.36 (khtml, like gecko) chrome/39.0.2171.93 mobile safari/537.36",1,www.zanbil.ir,www.zanbil.ir,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),7,3,7,0
